chip_name,source_file,template_id,parameter_name,parameter_value,status,extracted_by,confidence,confidence_reason,source_pages,source_quote
UPF5337,202307UPF5337 datasheet V1.1.pdf,rf-fem-2.4g,Package,"16-pad QFN, 3.0 x 3.0 x 0.7 mm",needs_review,gemini_report_pass,review,当前阶段仅有完整报告中的模板字段推断，建议人工复核。,,
UPF5755,202307UPF5755 datasheet V1.2.pdf,rf-fem-5ghz,工作频率范围,5.15 - 5.85 GHz,confirmed,gemini_report_pass,high,当前阶段未拿到快参数结果，沿用完整报告参数。,1,
UPF5755,202307UPF5755 datasheet V1.2.pdf,rf-fem-5ghz,线性输出功率 (HE160),17.0 dBm,confirmed,gemini_report_pass,high,当前阶段未拿到快参数结果，沿用完整报告参数。,1,
UPF5755,202307UPF5755 datasheet V1.2.pdf,rf-fem-5ghz,线性输出功率 (VHT80),21.0 dBm,confirmed,gemini_report_pass,high,当前阶段未拿到快参数结果，沿用完整报告参数。,1,
UPF5755,202307UPF5755 datasheet V1.2.pdf,rf-fem-5ghz,发射增益,31 dB (Typ),confirmed,gemini_report_pass,high,当前阶段未拿到快参数结果，沿用完整报告参数。,3,
UPF5755,202307UPF5755 datasheet V1.2.pdf,rf-fem-5ghz,接收增益,14 dB (Typ),confirmed,gemini_report_pass,high,当前阶段未拿到快参数结果，沿用完整报告参数。,3,
UPF5755,202307UPF5755 datasheet V1.2.pdf,rf-fem-5ghz,噪声系数,2.5 dB,confirmed,gemini_report_pass,high,当前阶段未拿到快参数结果，沿用完整报告参数。,3,
UPF5755,202307UPF5755 datasheet V1.2.pdf,rf-fem-5ghz,供电电压,5.0 V (4.75V - 5.25V),confirmed,gemini_report_pass,high,当前阶段未拿到快参数结果，沿用完整报告参数。,2,
UPF5755,202307UPF5755 datasheet V1.2.pdf,rf-fem-5ghz,模式切换逻辑,PAEN/Ctrl0/Ctrl1 三线控制,confirmed,gemini_report_pass,high,当前阶段未拿到快参数结果，沿用完整报告参数。,4,
UPF5755,202307UPF5755 datasheet V1.2.pdf,rf-fem-5ghz,控制电平范围,1.6V - 3.6V (High),confirmed,gemini_report_pass,high,当前阶段未拿到快参数结果，沿用完整报告参数。,2,
UPF5755,202307UPF5755 datasheet V1.2.pdf,rf-fem-5ghz,湿敏等级,MSL3,confirmed,gemini_report_pass,high,当前阶段未拿到快参数结果，沿用完整报告参数。,1,
